Subject,Age,AllowedTime,Order,Trial,Center,Top,Target,TargetAngle,EstimateAngle,AngularError,Average,SD
9,19,20,Random,7,drum,trash can,tree,146.5,217,70,29.69,37.95
9,19,20,Random,16,drum,bell,wheel,173.5,187,14,29.69,37.95
9,19,20,Random,14,barrell,tree,basketball,311.5,333,22,29.69,37.95
9,19,20,Random,26,drum,basketball,trash can,164,181,17,29.69,37.95
9,19,20,Random,22,drum,tree,barrell,55,98,43,29.69,37.95
9,19,20,Random,3,basketball,wheel,trash can,68.5,90,22,29.69,37.95
9,19,20,Random,19,traffic light,drum,barrell,54.5,92,38,29.69,37.95
9,19,20,Random,1,bell,traffic light,drum,336.5,328,8,29.69,37.95
9,19,20,Random,25,trash can,barrell,wheel,18,46,28,29.69,37.95
9,19,20,Random,29,stool,basketball,trash can,106,74,32,29.69,37.95
9,19,20,Random,30,drum,wheel,bell,185,178,7,29.69,37.95
9,19,20,Random,18,wheel,tree,drum,310,341,31,29.69,37.95
9,19,20,Random,24,traffic light,barrell,basketball,342,347,5,29.69,37.95
9,19,20,Random,15,wheel,stool,drum,333.5,340,6,29.69,37.95
9,19,20,Random,5,stool,drum,wheel,311,319,8,29.69,37.95
9,19,20,Random,17,basketball,tree,wheel,184,177,7,29.69,37.95
9,19,20,Random,28,stool,barrell,traffic light,89.5,126,36,29.69,37.95
9,19,20,Random,11,barrell,basketball,stool,13.5,31,18,29.69,37.95
9,19,20,Random,8,barrell,traffic light,bell,40,169,129,29.69,37.95
9,19,20,Random,31,tree ,barrell,basketball,35,53,18,29.69,37.95
9,19,20,Random,23,trash can,tree,wheel,50,66,16,29.69,37.95
9,19,20,Random,4,drum,traffic light,stool,193,205,12,29.69,37.95
9,19,20,Random,10,wheel,traffic light,barrell,144,159,15,29.69,37.95
9,19,20,Random,2,tree,basketball,wheel,2.5,1,2,29.69,37.95
9,19,20,Random,20,trash can,bell,tree,34,20,14,29.69,37.95
9,19,20,Random,27,bell,stool,tree,331.5,323,8,29.69,37.95
9,19,20,Random,6,tree ,trash can,bell,25,67,42,29.69,37.95
9,19,20,Random,9,barrell,trash can,tree,64.5,163,98,29.69,37.95
9,19,20,Random,21,drum,stool,trash can,220,49,171,29.69,37.95
9,19,20,Random,12,barrell,bell,wheel,306,311,5,29.69,37.95
9,19,20,Random,32,stool,wheel,barrell,312.5,317,4,29.69,37.95
9,19,20,Random,13,basketball,bell,tree,67.5,72,4,29.69,37.95
48,23,20,Random,2,tree,basketball,wheel,2.5,2,1,9.12,12.84
48,23,20,Random,12,barrell,bell,wheel,306,323,17,9.12,12.84
48,23,20,Random,6,tree ,trash can,bell,25,31,6,9.12,12.84
48,23,20,Random,22,drum,tree,barrell,55,66,11,9.12,12.84
48,23,20,Random,8,barrell,traffic light,bell,40,44,4,9.12,12.84
48,23,20,Random,4,drum,traffic light,stool,193,188,5,9.12,12.84
48,23,20,Random,3,basketball,wheel,trash can,68.5,79,10,9.12,12.84
48,23,20,Random,16,drum,bell,wheel,173.5,182,8,9.12,12.84
48,23,20,Random,25,trash can,barrell,wheel,18,18,0,9.12,12.84
48,23,20,Random,31,tree ,barrell,basketball,35,38,3,9.12,12.84
48,23,20,Random,10,wheel,traffic light,barrell,144,157,13,9.12,12.84
48,23,20,Random,21,drum,stool,trash can,220,224,4,9.12,12.84
48,23,20,Random,30,drum,wheel,bell,185,183,2,9.12,12.84
48,23,20,Random,14,barrell,tree,basketball,311.5,314,2,9.12,12.84
48,23,20,Random,13,basketball,bell,tree,67.5,56,12,9.12,12.84
48,23,20,Random,18,wheel,tree,drum,310,326,16,9.12,12.84
48,23,20,Random,11,barrell,basketball,stool,13.5,8,6,9.12,12.84
48,23,20,Random,9,barrell,trash can,tree,64.5,50,14,9.12,12.84
48,23,20,Random,26,drum,basketball,trash can,164,168,4,9.12,12.84
48,23,20,Random,23,trash can,tree,wheel,50,67,17,9.12,12.84
48,23,20,Random,20,trash can,bell,tree,34,321,73,9.12,12.84
48,23,20,Random,17,basketball,tree,wheel,184,183,1,9.12,12.84
48,23,20,Random,1,bell,traffic light,drum,336.5,339,2,9.12,12.84
48,23,20,Random,29,stool,basketball,trash can,106,89,17,9.12,12.84
48,23,20,Random,5,stool,drum,wheel,311,311,0,9.12,12.84
48,23,20,Random,15,wheel,stool,drum,333.5,321,12,9.12,12.84
48,23,20,Random,24,traffic light,barrell,basketball,342,333,9,9.12,12.84
48,23,20,Random,27,bell,stool,tree,331.5,326,6,9.12,12.84
48,23,20,Random,32,stool,wheel,barrell,312.5,308,4,9.12,12.84
48,23,20,Random,19,traffic light,drum,barrell,54.5,63,8,9.12,12.84
48,23,20,Random,28,stool,barrell,traffic light,89.5,89,1,9.12,12.84
48,23,20,Random,7,drum,trash can,tree,146.5,151,4,9.12,12.84
8,19,20,Random,25,trash can,barrell,wheel,18,19,1,13.22,11.37
8,19,20,Random,1,bell,traffic light,drum,336.5,338,2,13.22,11.37
8,19,20,Random,21,drum,stool,trash can,220,208,12,13.22,11.37
8,19,20,Random,11,barrell,basketball,stool,13.5,12,2,13.22,11.37
8,19,20,Random,20,trash can,bell,tree,34,29,5,13.22,11.37
8,19,20,Random,14,barrell,tree,basketball,311.5,339,28,13.22,11.37
8,19,20,Random,19,traffic light,drum,barrell,54.5,32,22,13.22,11.37
8,19,20,Random,9,barrell,trash can,tree,64.5,51,14,13.22,11.37
8,19,20,Random,5,stool,drum,wheel,311,338,27,13.22,11.37
8,19,20,Random,6,tree ,trash can,bell,25,39,14,13.22,11.37
8,19,20,Random,2,tree,basketball,wheel,2.5,12,10,13.22,11.37
8,19,20,Random,29,stool,basketball,trash can,106,102,4,13.22,11.37
8,19,20,Random,10,wheel,traffic light,barrell,144,153,9,13.22,11.37
8,19,20,Random,31,tree ,barrell,basketball,35,31,4,13.22,11.37
8,19,20,Random,15,wheel,stool,drum,333.5,344,10,13.22,11.37
8,19,20,Random,4,drum,traffic light,stool,193,199,6,13.22,11.37
8,19,20,Random,7,drum,trash can,tree,146.5,194,48,13.22,11.37
8,19,20,Random,28,stool,barrell,traffic light,89.5,110,20,13.22,11.37
8,19,20,Random,18,wheel,tree,drum,310,323,13,13.22,11.37
8,19,20,Random,26,drum,basketball,trash can,164,171,7,13.22,11.37
8,19,20,Random,24,traffic light,barrell,basketball,342,331,11,13.22,11.37
8,19,20,Random,8,barrell,traffic light,bell,40,82,42,13.22,11.37
8,19,20,Random,22,drum,tree,barrell,55,69,14,13.22,11.37
8,19,20,Random,12,barrell,bell,wheel,306,308,2,13.22,11.37
8,19,20,Random,30,drum,wheel,bell,185,174,11,13.22,11.37
8,19,20,Random,32,stool,wheel,barrell,312.5,309,4,13.22,11.37
8,19,20,Random,23,trash can,tree,wheel,50,75,25,13.22,11.37
8,19,20,Random,27,bell,stool,tree,331.5,325,6,13.22,11.37
8,19,20,Random,16,drum,bell,wheel,173.5,167,6,13.22,11.37
8,19,20,Random,13,basketball,bell,tree,67.5,42,26,13.22,11.37
8,19,20,Random,3,basketball,wheel,trash can,68.5,76,8,13.22,11.37
8,19,20,Random,17,basketball,tree,wheel,184,194,10,13.22,11.37
17,18,20,Random,7,drum,trash can,tree,146.5,142,4,12.00,15.05
17,18,20,Random,8,barrell,traffic light,bell,40,54,14,12.00,15.05
17,18,20,Random,14,barrell,tree,basketball,311.5,303,8,12.00,15.05
17,18,20,Random,23,trash can,tree,wheel,50,37,13,12.00,15.05
17,18,20,Random,31,tree ,barrell,basketball,35,312,83,12.00,15.05
17,18,20,Random,22,drum,tree,barrell,55,78,23,12.00,15.05
17,18,20,Random,4,drum,traffic light,stool,193,194,1,12.00,15.05
17,18,20,Random,28,stool,barrell,traffic light,89.5,80,10,12.00,15.05
17,18,20,Random,24,traffic light,barrell,basketball,342,337,5,12.00,15.05
17,18,20,Random,27,bell,stool,tree,331.5,343,12,12.00,15.05
17,18,20,Random,5,stool,drum,wheel,311,338,27,12.00,15.05
17,18,20,Random,12,barrell,bell,wheel,306,299,7,12.00,15.05
17,18,20,Random,21,drum,stool,trash can,220,221,1,12.00,15.05
17,18,20,Random,13,basketball,bell,tree,67.5,38,30,12.00,15.05
17,18,20,Random,19,traffic light,drum,barrell,54.5,65,10,12.00,15.05
17,18,20,Random,30,drum,wheel,bell,185,188,3,12.00,15.05
17,18,20,Random,20,trash can,bell,tree,34,34,0,12.00,15.05
17,18,20,Random,32,stool,wheel,barrell,312.5,312,1,12.00,15.05
17,18,20,Random,11,barrell,basketball,stool,13.5,14,1,12.00,15.05
17,18,20,Random,18,wheel,tree,drum,310,323,13,12.00,15.05
17,18,20,Random,9,barrell,trash can,tree,64.5,54,10,12.00,15.05
17,18,20,Random,17,basketball,tree,wheel,184,187,3,12.00,15.05
17,18,20,Random,3,basketball,wheel,trash can,68.5,80,12,12.00,15.05
17,18,20,Random,16,drum,bell,wheel,173.5,187,14,12.00,15.05
17,18,20,Random,2,tree,basketball,wheel,2.5,11,8,12.00,15.05
17,18,20,Random,25,trash can,barrell,wheel,18,20,2,12.00,15.05
17,18,20,Random,6,tree ,trash can,bell,25,42,17,12.00,15.05
17,18,20,Random,26,drum,basketball,trash can,164,149,15,12.00,15.05
17,18,20,Random,10,wheel,traffic light,barrell,144,139,5,12.00,15.05
17,18,20,Random,29,stool,basketball,trash can,106,86,20,12.00,15.05
17,18,20,Random,15,wheel,stool,drum,333.5,341,8,12.00,15.05
17,18,20,Random,1,bell,traffic light,drum,336.5,340,4,12.00,15.05
16,18,20,Random,6,tree ,trash can,bell,25,26,1,40.78,39.36
16,18,20,Random,14,barrell,tree,basketball,311.5,33,82,40.78,39.36
16,18,20,Random,4,drum,traffic light,stool,193,197,4,40.78,39.36
16,18,20,Random,16,drum,bell,wheel,173.5,201,28,40.78,39.36
16,18,20,Random,5,stool,drum,wheel,311,334,23,40.78,39.36
16,18,20,Random,11,barrell,basketball,stool,13.5,343,30,40.78,39.36
16,18,20,Random,26,drum,basketball,trash can,164,179,15,40.78,39.36
16,18,20,Random,27,bell,stool,tree,331.5,294,38,40.78,39.36
16,18,20,Random,31,tree ,barrell,basketball,35,24,11,40.78,39.36
16,18,20,Random,28,stool,barrell,traffic light,89.5,148,58,40.78,39.36
16,18,20,Random,19,traffic light,drum,barrell,54.5,305,110,40.78,39.36
16,18,20,Random,1,bell,traffic light,drum,336.5,330,6,40.78,39.36
16,18,20,Random,15,wheel,stool,drum,333.5,335,2,40.78,39.36
16,18,20,Random,9,barrell,trash can,tree,64.5,154,90,40.78,39.36
16,18,20,Random,29,stool,basketball,trash can,106,157,51,40.78,39.36
16,18,20,Random,2,tree,basketball,wheel,2.5,5,2,40.78,39.36
