Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
10,f,-1,221.6333,-0.06889872,1.646346,-0.08759002,0.5605144
10,f,-1,221.8556,-0.07072394,1.647387,-0.08674099,0.02738022
10,f,-1,222.0778,-0.07453799,1.653677,-0.08717334,357.5967
10,f,-1,222.3,-0.08643255,1.667152,-0.09400325,349.6217
10,f,-1,222.5222,-0.08523451,1.670302,-0.09959924,349.49
10,f,-1,222.7444,-0.06829073,1.670369,-0.1005685,0.2803163
10,f,-1,222.9667,-0.05322948,1.672243,-0.1036777,10.12089
10,f,-1,223.1889,-0.04555777,1.671101,-0.1055895,15.48567
10,f,-1,223.4111,-0.04513256,1.670252,-0.1054896,15.65924
10,f,-1,223.6333,-0.04868244,1.670104,-0.1052113,12.50815
10,f,-1,223.8556,-0.05517644,1.668402,-0.1051408,7.462108
10,f,-1,224.0778,-0.05866539,1.667091,-0.1071609,4.928218
10,f,-1,224.3,-0.05889787,1.666733,-0.1089061,4.972147
10,f,-1,224.5222,-0.06603622,1.66766,-0.1095777,359.5903
10,f,-1,224.7444,-0.06983238,1.667771,-0.110839,357.2487
10,f,-1,224.9667,-0.06318761,1.66822,-0.1113109,0.465385
10,f,-1,225.1889,-0.05100961,1.670266,-0.1114598,8.07064
10,f,-1,225.4111,-0.03982162,1.667365,-0.1130902,15.4523
10,f,-1,225.6333,-0.03898958,1.66311,-0.1119718,13.6329
10,f,-1,225.8556,-0.04591388,1.659489,-0.1087138,7.374127
10,f,-1,226.0778,-0.048315,1.658195,-0.1048682,5.403469
10,f,-1,226.3,-0.04545276,1.657443,-0.100554,5.735537
10,f,-1,226.5222,-0.04139095,1.657337,-0.09546299,4.905448
10,f,-1,226.7444,-0.03515954,1.658043,-0.09002016,3.235882
10,f,-1,226.9667,-0.01771382,1.651433,-0.07963631,0.1796653
10,f,-1,227.1889,-0.004123468,1.63825,-0.0561729,357.0002
10,f,-1,227.4111,-0.0167961,1.634639,0.008559801,354.1995
10,f,-1,227.6333,-0.05475777,1.640229,0.1117595,354.7064
