Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
20,f,-1,279.4222,-0.02720363,1.593262,-0.08197697,0.6887878
20,f,-1,279.6444,-0.03020677,1.597615,-0.08568197,358.9208
20,f,-1,279.8667,-0.04119609,1.634427,-0.09564461,352.138
20,f,-1,280.0889,-0.04558002,1.63465,-0.109055,351.6058
20,f,-1,280.3111,-0.03996044,1.630289,-0.1133071,357.8158
20,f,-1,280.5333,-0.02260474,1.63308,-0.1193002,10.35474
20,f,-1,280.7556,-0.01786424,1.631877,-0.1225467,13.25833
20,f,-1,280.9778,-0.02434392,1.630784,-0.1219011,9.638234
20,f,-1,281.2,-0.03227524,1.631338,-0.1199055,5.255628
20,f,-1,281.4222,-0.03772914,1.629759,-0.1176376,1.290804
20,f,-1,281.6444,-0.0390906,1.627286,-0.1159124,0.5970636
20,f,-1,281.8667,-0.03765108,1.62828,-0.1206583,2.569994
20,f,-1,282.0889,-0.03845455,1.631941,-0.134693,4.697517
20,f,-1,282.3111,-0.03971055,1.634629,-0.1481808,7.595294
20,f,-1,282.5333,-0.03911741,1.628899,-0.1496605,9.339851
20,f,-1,282.7556,-0.04382163,1.629629,-0.1468947,6.030433
20,f,-1,282.9778,-0.06090087,1.627218,-0.1442114,355.2939
20,f,-1,283.2,-0.06774527,1.626434,-0.1406972,355.1213
20,f,-1,283.4222,-0.06106106,1.627594,-0.1393045,4.314399
20,f,-1,283.6444,-0.0492934,1.627349,-0.1428325,15.81659
20,f,-1,283.8667,-0.05182615,1.625071,-0.1445664,14.8774
20,f,-1,284.0889,-0.06483003,1.621427,-0.1448046,5.315534
20,f,-1,284.3111,-0.07124842,1.616478,-0.145599,1.74366
20,f,-1,284.5333,-0.0750201,1.615343,-0.1463203,1.289125
20,f,-1,284.7556,-0.07323621,1.616529,-0.1475926,3.450344
20,f,-1,284.9778,-0.07137844,1.616297,-0.1459,3.693248
20,f,-1,285.2,-0.07305722,1.615891,-0.1427028,0.6395609
