Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
24,f,1,31.1,-0.03902395,1.646921,0.01241459,1.140364
24,f,1,31.32222,-0.03487163,1.646113,0.01759713,1.277037
24,f,1,31.54445,-0.03071268,1.645457,0.02542812,0.8979213
24,f,1,31.76667,-0.02745629,1.644455,0.0436295,359.54
24,f,1,31.98889,-0.02404626,1.645117,0.06204055,358.3348
24,f,1,32.21111,-0.01852808,1.645321,0.07327475,358.6906
24,f,1,32.43333,-0.014743,1.6448,0.08219242,359.3105
24,f,1,32.65556,-0.01269801,1.643879,0.09117349,359.1252
24,f,1,32.87778,-0.01735744,1.637819,0.1061317,356.5685
24,f,1,33.1,-0.05173246,1.633326,0.1419623,354.1121
24,f,1,33.32222,-0.1143737,1.632252,0.1975039,351.7161
24,f,1,33.54445,-0.1837402,1.633513,0.2631412,347.7936
24,f,1,33.76667,-0.2415537,1.627905,0.3412771,343.4375
24,f,1,33.98889,-0.2831143,1.616377,0.4410945,339.1298
24,f,1,34.21111,-0.3239206,1.62854,0.5472757,336.2557
24,f,1,34.43333,-0.3850042,1.624931,0.6513503,333.3999
24,f,1,34.65556,-0.4735076,1.622233,0.7531646,333.5144
24,f,1,34.87778,-0.5593785,1.628777,0.8515194,333.239
24,f,1,35.1,-0.6332788,1.619482,0.9567101,332.0647
24,f,1,35.32222,-0.6951743,1.621956,1.073028,330.544
24,f,1,35.54445,-0.7560664,1.629375,1.176901,329.1011
24,f,1,35.76667,-0.8281813,1.61847,1.267677,327.7687
24,f,1,35.98889,-0.9107971,1.624778,1.352243,328.9797
24,f,1,36.21111,-0.9774388,1.633479,1.427924,330.4924
24,f,1,36.43333,-1.015952,1.626102,1.493643,330.5852
24,f,1,36.65556,-1.034295,1.624897,1.546989,330.0247
24,f,1,36.87778,-1.053671,1.634235,1.582153,330.116
24,f,1,37.1,-1.070692,1.633297,1.601621,331.0132
24,f,1,37.32222,-1.084137,1.632673,1.61308,331.017
24,f,1,37.54445,-1.09525,1.632683,1.619231,330.7035
24,f,1,37.76667,-1.099977,1.632114,1.620456,330.9299
24,f,1,37.98889,-1.104188,1.632157,1.625135,331.8892
24,f,1,38.21111,-1.108979,1.63168,1.631563,332.0739
24,f,1,38.43333,-1.114368,1.631393,1.635678,331.9937
24,f,1,38.65556,-1.118333,1.631041,1.634863,331.8509
24,f,1,38.87778,-1.119844,1.631046,1.632213,331.8536
24,f,1,39.1,-1.118835,1.630983,1.630621,331.7797
24,f,1,39.32222,-1.117238,1.630569,1.629822,331.9032
24,f,39,54.31111,-0.07149992,1.621935,-0.04854953,1.460271
24,f,39,54.53333,-0.07171319,1.621701,-0.04685482,1.703393
24,f,39,54.75556,-0.07193283,1.621802,-0.04445812,1.822382
24,f,39,54.97778,-0.07255353,1.621811,-0.04348098,1.942496
24,f,39,55.2,-0.0731822,1.621151,-0.04342348,2.12378
24,f,39,55.42222,-0.07427574,1.621175,-0.04269807,2.245745
24,f,39,55.64445,-0.0753466,1.621382,-0.04246916,2.116842
24,f,39,55.86667,-0.07558007,1.621258,-0.04347883,2.104638
24,f,39,56.08889,-0.07471617,1.620947,-0.04439752,2.273858
24,f,39,56.31111,-0.07380935,1.621358,-0.0454243,2.341939
24,f,39,56.53333,-0.07350595,1.621446,-0.04681173,2.420224
