Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
28,m,-1,141.9778,-0.00487931,1.681016,-0.1754209,1.996888
28,m,-1,142.2,-0.01056999,1.686329,-0.1717682,359.1953
28,m,-1,142.4222,-0.02926065,1.694957,-0.1812631,346.8324
28,m,-1,142.6445,-0.04269185,1.698078,-0.1942818,336.4184
28,m,-1,142.8667,-0.03232198,1.698204,-0.1959475,342.6975
28,m,-1,143.0889,-0.01599178,1.698935,-0.2009046,352.4162
28,m,-1,143.3111,-0.0007467167,1.698755,-0.2068774,2.065909
28,m,-1,143.5333,0.01135555,1.698165,-0.2105171,10.20017
28,m,-1,143.7556,0.007430969,1.697829,-0.2104163,8.227727
28,m,-1,143.9778,-0.01015894,1.696882,-0.2096712,356.2005
28,m,-1,144.2,-0.02379813,1.695035,-0.207168,346.2054
28,m,-1,144.4222,-0.02513905,1.692774,-0.2031634,345.5559
28,m,-1,144.6445,-0.022994,1.690259,-0.2037706,347.0315
28,m,-1,144.8667,-0.02109016,1.686105,-0.2093588,349.64
28,m,-1,145.0889,-0.01128344,1.684911,-0.2134255,357.6287
28,m,-1,145.3111,-0.003358765,1.684408,-0.214356,3.458696
28,m,-1,145.5333,-0.004278655,1.686466,-0.2126347,3.326687
28,m,-1,145.7556,-0.01685395,1.684184,-0.2077463,355.7975
28,m,-1,145.9778,-0.0273501,1.683192,-0.2041147,350.6004
28,m,-1,146.2,-0.02241667,1.684278,-0.2014838,354.3801
28,m,-1,146.4222,-0.02174309,1.686275,-0.2017641,354.5354
28,m,-1,146.6445,-0.02093,1.687773,-0.2025419,354.3406
28,m,-1,146.8667,-0.03052372,1.686013,-0.2032949,347.6506
28,m,-1,147.0889,-0.03381348,1.686197,-0.2049269,344.32
28,m,-1,147.3111,-0.02557098,1.687036,-0.2058999,350.2285
28,m,-1,147.5333,-0.01643972,1.687972,-0.2061363,357.3896
28,m,-1,147.7556,-0.008950889,1.689667,-0.2053407,2.521869
28,m,-1,147.9778,-0.01238862,1.689945,-0.2033212,359.3748
28,m,-1,148.2,-0.02220959,1.69062,-0.2001024,352.7056
28,m,-1,148.4222,-0.02663945,1.688627,-0.1983982,350.6712
28,m,-1,148.6445,-0.03022487,1.690387,-0.2001319,348.8451
28,m,-1,148.8667,-0.04005261,1.68917,-0.2041921,342.7445
28,m,-1,149.0889,-0.03481652,1.687481,-0.2010877,346.9328
28,m,-1,149.3111,-0.02883128,1.687339,-0.1982456,349.8806
28,m,-1,149.5333,-0.02452698,1.687286,-0.1988104,351.1331
28,m,-1,149.7556,-0.02132479,1.687825,-0.1991203,352.4116
28,m,-1,149.9778,-0.01812882,1.687636,-0.1987757,353.7631
28,m,-1,150.2,-0.01685522,1.687935,-0.1983951,354.4918
28,m,-1,150.4222,-0.01650028,1.68852,-0.1965966,354.776
28,m,-1,150.6445,-0.01517162,1.688621,-0.1948531,354.6911
28,m,-1,150.8667,-0.01361323,1.688807,-0.1936304,354.7032
28,m,-1,151.0889,-0.01227945,1.689004,-0.1948056,354.6661
28,m,-1,151.3111,-0.01208603,1.687326,-0.1956437,353.558
28,m,-1,151.5333,-0.01430975,1.672354,-0.1922585,352.3751
28,m,-1,151.7556,-0.0163538,1.658653,-0.1851703,350.927
28,m,-1,151.9778,-0.01854981,1.65921,-0.1844705,350.282
28,m,-1,152.2,-0.01897138,1.67832,-0.1878621,350.95
28,m,-1,152.4222,-0.02967844,1.683555,-0.1800754,348.524
28,m,-1,152.6445,-0.05994128,1.68306,-0.147997,347.0734
28,m,-1,152.8667,-0.1188769,1.675767,-0.09339121,347.0949
28,m,-1,153.0889,-0.1973528,1.680712,-0.02768236,348.0327
28,m,-1,153.3111,-0.2622516,1.686708,0.04684877,348.6364
28,m,-1,153.5333,-0.304964,1.68153,0.1397553,349.3332
28,m,-1,153.7556,-0.3257464,1.674592,0.2612849,347.5717
28,m,-1,153.9778,-0.3426811,1.684938,0.382126,347.3389
28,m,-1,154.2,-0.3751627,1.68564,0.4794163,347.559
28,m,-1,154.4222,-0.4251595,1.673397,0.5711408,350.6486
28,m,-1,154.6445,-0.4901735,1.675165,0.6635913,355.9792
28,m,-1,154.8667,-0.5361521,1.680312,0.7666568,359.8777
28,m,-1,155.0889,-0.542382,1.671051,0.8675039,2.033966
