Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
38,m,47,55.64445,0.02193451,1.776133,-0.1304106,354.7122
38,m,47,55.86667,0.01952779,1.775791,-0.127537,354.4274
38,m,47,56.08889,0.02052889,1.775789,-0.1289535,355.4564
38,m,47,56.31111,0.02283878,1.775144,-0.1385269,9.127682
38,m,47,56.53333,0.02696564,1.777303,-0.1444484,36.97407
38,m,47,56.75556,0.04415176,1.77524,-0.1652662,66.5612
38,m,47,56.97778,0.06123481,1.768099,-0.2286058,92.86746
38,m,47,57.2,0.06299499,1.764579,-0.3217702,114.0761
38,m,47,57.42222,0.05965025,1.7615,-0.432465,131.9906
38,m,47,57.64445,0.06205842,1.754024,-0.5155191,147.9129
38,m,47,57.86667,0.06036769,1.746115,-0.5848118,162.3421
38,m,47,58.08889,0.05533256,1.745819,-0.634612,171.7212
38,m,47,58.31111,0.06780058,1.750446,-0.6681356,174.5891
38,m,47,58.53334,0.08748887,1.750669,-0.7174504,172.1176
38,m,47,58.75556,0.1184463,1.733511,-0.8090402,167.7195
38,m,47,58.97778,0.1569841,1.737535,-0.9426872,162.539
38,m,47,59.2,0.1778162,1.747968,-1.086499,160.7525
38,m,47,59.42222,0.1718252,1.743252,-1.223694,163.1278
38,m,47,59.64445,0.1593158,1.736756,-1.381678,162.2416
38,m,47,59.86667,0.1684197,1.748928,-1.544226,159.4795
38,m,47,60.08889,0.198333,1.750299,-1.674863,158.3043
38,m,47,60.31111,0.2402956,1.735579,-1.793169,158.6858
38,m,47,60.53334,0.2944863,1.73619,-1.92685,160.8526
38,m,47,60.75556,0.3249829,1.753243,-2.047725,166.8033
38,m,47,60.97778,0.3355736,1.761141,-2.118513,169.0901
38,m,47,61.2,0.3326879,1.763648,-2.181404,168.4846
38,m,47,61.42222,0.3233655,1.758485,-2.248748,162.5104
38,m,47,61.64445,0.3173589,1.761473,-2.316337,156.9756
38,m,47,61.86667,0.3175858,1.76583,-2.358511,157.5484
38,m,47,62.08889,0.3198625,1.762039,-2.377954,156.4284
38,m,47,62.31111,0.3239506,1.763529,-2.380176,152.9536
38,m,47,62.53334,0.3285549,1.761512,-2.383973,150.6971
38,m,47,62.75556,0.3303592,1.761342,-2.388971,151.6101
38,m,47,62.97778,0.3352567,1.760722,-2.390843,150.8009
38,m,47,63.2,0.342294,1.756919,-2.382473,141.1092
38,m,47,63.42222,0.3490475,1.755484,-2.341905,104.8373
