Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
45,m,-1,48.85556,-0.003858539,1.647353,0.1254947,3.609267
45,m,-1,49.07778,-0.002630934,1.657916,0.1247482,3.866717
45,m,-1,49.3,-0.00507323,1.682436,0.1123563,1.716779
45,m,-1,49.52222,-0.006475255,1.683019,0.1031604,359.9035
45,m,-1,49.74445,-0.02992987,1.691895,0.08700033,344.3526
45,m,-1,49.96667,-0.04544077,1.785969,0.05116382,336.8025
45,m,-1,50.18889,-0.04294789,1.781921,0.05138943,338.4374
45,m,-1,50.41111,-0.04542711,1.768084,0.05199843,335.1808
45,m,-1,50.63334,-0.03522522,1.76821,0.05806391,340.4887
45,m,-1,50.85556,0.004536491,1.768314,0.06438066,4.863623
45,m,-1,51.07778,0.03258669,1.765112,0.06017464,19.84985
45,m,-1,51.3,0.04382641,1.763555,0.0567015,24.74026
45,m,-1,51.52222,0.03058528,1.764963,0.06295851,14.75069
45,m,-1,51.74445,0.01696306,1.764538,0.06901496,7.308908
45,m,-1,51.96667,0.01913627,1.764026,0.07479975,8.591115
45,m,-1,52.18889,0.006279882,1.763843,0.07932629,357.2808
45,m,-1,52.41111,-0.01551508,1.761099,0.0772287,342.4979
45,m,-1,52.63334,-0.02404134,1.758876,0.07643747,340.3705
45,m,-1,52.85556,-0.03764247,1.755567,0.07169913,334.7024
45,m,-1,53.07778,-0.04181533,1.755069,0.06868383,334.0997
45,m,-1,53.3,-0.04372105,1.755238,0.06814477,334.5195
45,m,-1,53.52222,-0.01351862,1.756932,0.07817507,356.5216
45,m,-1,53.74445,0.002232071,1.756397,0.08092183,4.069138
45,m,-1,53.96667,0.01439617,1.754225,0.08248214,10.55965
45,m,-1,54.18889,0.02332765,1.752993,0.08220518,15.59654
45,m,-1,54.41111,0.01725784,1.747063,0.08355366,10.46417
45,m,-1,54.63334,0.002237167,1.746542,0.08617207,359.8555
45,m,-1,54.85556,-0.01347806,1.74616,0.08554163,351.1113
45,m,-1,55.07778,-0.02593772,1.745393,0.08339062,344.5331
45,m,-1,55.3,-0.02715934,1.745871,0.08359407,344.5631
45,m,-1,55.52222,-0.01987261,1.750525,0.08676457,348.4679
45,m,-1,55.74445,-0.01425777,1.756117,0.0885684,350.5302
45,m,-1,55.96667,-0.007733636,1.763189,0.08565196,353.8665
45,m,-1,56.18889,-0.0009193048,1.766703,0.07850905,357.0933
45,m,-1,56.41111,0.003142393,1.769147,0.07597582,358.5993
45,m,-1,56.63334,0.002696899,1.770716,0.08080025,358.8697
45,m,-1,56.85556,0.006759908,1.77185,0.09702709,358.4826
45,m,-1,57.07778,0.02636749,1.771,0.1217609,358.1229
45,m,-1,57.3,0.05704569,1.765424,0.1559596,357.3928
45,m,-1,57.52222,0.06837998,1.767135,0.2093287,357.8696
45,m,-1,57.74445,0.05202579,1.759956,0.286848,357.5534
45,m,-1,57.96667,0.00970004,1.761548,0.3986089,357.2379
45,m,-1,58.18889,-0.03430238,1.766528,0.5034053,357.9336
45,m,-1,58.41111,-0.05130397,1.767945,0.5877279,359.0279
45,m,-1,58.63334,-0.03928288,1.75407,0.6748253,358.6327
45,m,-1,58.85556,-0.005428467,1.754821,0.7833133,356.6808
45,m,-1,59.07778,0.02033622,1.748898,0.8828124,354.432
45,m,-1,59.3,0.02057727,1.750022,0.9592073,351.8263
45,m,-1,59.52222,-0.001836998,1.746653,1.010743,348.9895
45,m,-1,59.74445,-0.05637426,1.744841,1.054552,337.0311
45,m,-1,59.96667,-0.1215012,1.740971,1.101744,334.1285
45,m,-1,60.18889,-0.1940967,1.738176,1.139047,331.9861
45,m,-1,60.41111,-0.2465944,1.738328,1.165193,329.7709
45,m,-1,60.63334,-0.2698708,1.735213,1.18939,328.8788
45,m,-1,60.85556,-0.2627686,1.73431,1.196692,329.8102
45,m,-1,61.07778,-0.2209814,1.733155,1.175315,328.7559
45,m,-1,61.3,-0.1804969,1.737119,1.158386,326.8228
45,m,-1,61.52222,-0.1828257,1.740973,1.146487,326.5443
45,m,-1,61.74445,-0.2073094,1.739258,1.143046,326.3646
45,m,-1,61.96667,-0.2166896,1.738562,1.139514,326.433
45,m,-1,62.18889,-0.2149701,1.738811,1.136682,327.3278
45,m,-1,62.41111,-0.2068917,1.739302,1.143352,333.432
45,m,-1,62.63334,-0.171007,1.735816,1.156663,355.3394
45,m,-1,62.85556,-0.1340995,1.732289,1.159944,9.432451
45,m,-1,63.07778,-0.1075713,1.732288,1.160418,13.04244
45,m,-1,63.3,-0.08852683,1.732321,1.162238,13.9714
45,m,-1,63.52222,-0.08264928,1.732187,1.157238,12.07483
45,m,-1,63.74445,-0.07971431,1.734777,1.147743,11.26552
45,m,-1,63.96667,-0.07584918,1.737005,1.144225,11.06651
45,m,-1,64.18889,-0.07251711,1.73636,1.147961,11.23421
45,m,-1,64.41111,-0.07167342,1.735377,1.149065,11.51934
45,m,-1,64.63333,-0.07225755,1.734902,1.147176,11.98031
45,m,-1,64.85556,-0.07426915,1.734763,1.14597,12.46337
45,m,-1,65.07778,-0.07337756,1.732803,1.144855,15.56422
45,m,-1,65.3,-0.0495242,1.720361,1.139607,33.24043
45,m,-1,65.52222,-0.005754525,1.719891,1.124412,41.31292
45,m,-1,65.74445,0.06848616,1.721732,1.109784,41.04755
45,m,-1,65.96667,0.1539559,1.719048,1.10456,39.0382
45,m,-1,66.18889,0.2073822,1.719638,1.108839,37.78984
45,m,-1,66.41111,0.223739,1.713911,1.119041,34.46223
45,m,-1,66.63333,0.2243873,1.714843,1.120707,35.07933
45,m,-1,66.85556,0.2229529,1.714318,1.11964,35.67329
45,m,-1,67.07778,0.2229816,1.714391,1.116253,35.4845
45,m,-1,67.3,0.2215318,1.714959,1.114298,35.6605
45,m,-1,67.52222,0.2207822,1.714211,1.115917,35.64175
45,m,-1,67.74445,0.2206709,1.714514,1.118376,35.37346
45,m,-1,67.96667,0.2195816,1.718108,1.115543,35.10178
45,m,-1,68.18889,0.2120242,1.725319,1.103514,33.123
45,m,-1,68.41111,0.1992891,1.727881,1.079898,29.08917
45,m,-1,68.63333,0.1750361,1.728335,1.042933,25.11933
45,m,-1,68.85556,0.1343915,1.730917,0.9994064,23.48197
45,m,-1,69.07778,0.07933514,1.736477,0.9614466,21.32828
45,m,-1,69.3,0.02239536,1.741318,0.9226701,21.59546
45,m,-1,69.52222,-0.01374096,1.747161,0.8839396,23.08788
45,m,-1,69.74445,-0.02430215,1.752902,0.8409915,24.3712
45,m,-1,69.96667,-0.003495701,1.756419,0.7895844,26.60084
45,m,-1,70.18889,0.04249632,1.757782,0.7292365,32.20959
45,m,-1,70.41111,0.09422677,1.755727,0.653322,65.51788
45,m,-1,70.63333,0.1116877,1.759369,0.6020524,94.77698
45,m,-1,70.85556,0.09350958,1.759672,0.5942135,122.4482
45,m,-1,71.07778,0.04637912,1.756373,0.6000814,153.4795
45,m,-1,71.3,-0.0262575,1.751869,0.6062181,181.9251
45,m,-1,71.52222,-0.08046126,1.751194,0.6234417,193.3859
45,m,-1,71.74445,-0.1016643,1.75021,0.6364628,193.3697
45,m,-1,71.96667,-0.09978217,1.752491,0.6472411,183.8425
45,m,-1,72.18889,-0.07150149,1.753596,0.6604766,156.4758
45,m,-1,72.41111,-0.05703463,1.751491,0.6785238,138.7722
45,m,-1,72.63333,-0.05883088,1.748354,0.6824093,137.0801
45,m,-1,72.85556,-0.06979604,1.747205,0.6583573,145.8495
45,m,-1,73.07778,-0.1164732,1.742419,0.5997069,167.7421
45,m,-1,73.3,-0.2093399,1.744478,0.5528159,203.237
45,m,-1,73.52222,-0.2836066,1.747463,0.5529753,237.6605
45,m,-1,73.74445,-0.2899775,1.749683,0.5500742,255.8958
45,m,-1,73.96667,-0.2435159,1.759143,0.5035455,256.9311
45,m,-1,74.18889,-0.2413016,1.764702,0.4486362,253.153
45,m,-1,74.41111,-0.316723,1.757656,0.4167077,250.6972
45,m,-1,74.63334,-0.4565108,1.756589,0.4127197,249.5316
45,m,-1,74.85556,-0.582907,1.76418,0.4189842,252.0573
45,m,-1,75.07778,-0.6905047,1.760919,0.4017915,257.5498
45,m,-1,75.3,-0.7957158,1.754234,0.3458645,259.839
45,m,-1,75.52222,-0.9134737,1.773039,0.264745,259.8356
45,m,-1,75.74445,-1.007717,1.778785,0.2074594,257.7013
45,m,-1,75.96667,-1.111071,1.769445,0.1788844,258.8905
45,m,-1,76.18889,-1.249485,1.75884,0.164913,258.6221
45,m,-1,76.41111,-1.386843,1.763406,0.1414016,257.5558
45,m,-1,76.63334,-1.489599,1.765343,0.1061345,257.3168
45,m,-1,76.85556,-1.576428,1.759206,0.05328801,258.6008
45,m,-1,77.07778,-1.636045,1.747532,0.01888213,260.0297
45,m,-1,77.3,-1.617942,1.723371,0.03452988,260.9411
45,m,-1,77.52222,-1.590801,1.733041,0.05296179,263.0098
45,m,0,96.45556,-0.1086326,1.761283,-0.6947749,4.708644
45,m,0,96.67778,-0.1093719,1.764701,-0.6986855,3.854554
45,m,0,96.9,-0.113978,1.77991,-0.7064161,0.6244386
45,m,0,97.12222,-0.1168264,1.781894,-0.7128024,358.6878
45,m,0,97.34444,-0.120522,1.782276,-0.7171676,355.8623
45,m,0,97.56667,-0.1206627,1.780815,-0.718647,354.1162
45,m,0,97.78889,-0.1199081,1.774683,-0.715924,352.622
45,m,0,98.01112,-0.1166494,1.773802,-0.7096549,353.7958
45,m,0,98.23334,-0.115758,1.77266,-0.7036334,354.6968
45,m,0,98.45556,-0.1161519,1.772644,-0.6995978,355.1995
45,m,0,98.67778,-0.113952,1.772587,-0.6962014,357.0465
45,m,0,98.9,-0.112753,1.771657,-0.6926091,358.0931
45,m,0,99.12222,-0.1133984,1.771073,-0.6894765,357.9338
45,m,0,99.34444,-0.114492,1.770897,-0.6876389,357.3881
45,m,0,99.56667,-0.1138777,1.77145,-0.6868416,357.8634
45,m,0,99.78889,-0.1123548,1.771546,-0.6876123,358.3471
45,m,0,100.0111,-0.1123033,1.77154,-0.6891774,358.3553
45,m,0,100.2333,-0.1123934,1.771154,-0.6911164,358.664
45,m,0,100.4556,-0.1143739,1.771279,-0.6905817,358.3745
45,m,0,100.6778,-0.1148685,1.770592,-0.6896284,358.008
45,m,0,100.9,-0.1167017,1.769996,-0.6869621,356.9913
45,m,0,101.1222,-0.1171634,1.769307,-0.6841545,357.0201
45,m,0,101.3444,-0.1165571,1.768869,-0.6813356,357.1086
45,m,0,101.5667,-0.1151441,1.768086,-0.6794391,356.8021
45,m,0,101.7889,-0.1130575,1.768446,-0.6804745,356.3313
45,m,0,102.0111,-0.1104518,1.768217,-0.6814728,356.292
45,m,0,102.2333,-0.1102887,1.768511,-0.683232,355.8952
45,m,0,102.4556,-0.1119742,1.768108,-0.6846262,355.4459
45,m,0,102.6778,-0.1143579,1.767833,-0.6843997,355.3498
45,m,0,102.9,-0.1164552,1.767024,-0.6831228,355.392
45,m,0,103.1222,-0.1170391,1.76663,-0.681308,355.6794
45,m,0,103.3444,-0.116964,1.766802,-0.6787554,355.7288
45,m,0,103.5667,-0.1143291,1.76639,-0.6750525,356.6066
45,m,0,103.7889,-0.1132151,1.765478,-0.6714823,356.6369
45,m,0,104.0111,-0.1119877,1.764818,-0.6687046,356.5968
45,m,0,104.2333,-0.1094593,1.765719,-0.666766,357.3925
45,m,0,104.4556,-0.1087066,1.767861,-0.6665348,357.8397
45,m,0,104.6778,-0.1092937,1.77028,-0.6659793,358.4117
45,m,0,104.9,-0.1098369,1.770707,-0.664943,358.7564
45,m,0,105.1222,-0.1122067,1.770609,-0.664866,358.3492
45,m,0,105.3444,-0.1159272,1.769515,-0.6650361,356.897
45,m,0,105.5667,-0.119586,1.768532,-0.6653504,355.2655
45,m,0,105.7889,-0.1188485,1.767643,-0.6631719,355.6808
45,m,0,106.0111,-0.1142614,1.766575,-0.6615257,356.469
45,m,0,106.2333,-0.1096681,1.767086,-0.6611807,357.0799
45,m,0,106.4556,-0.105603,1.768018,-0.6617481,357.5601
45,m,0,106.6778,-0.1031352,1.768928,-0.6627244,358.1706
45,m,0,106.9,-0.1021876,1.76922,-0.6638968,358.3461
45,m,0,107.1222,-0.101509,1.770423,-0.6658123,358.6161
45,m,0,107.3444,-0.1026324,1.770175,-0.6652219,358.9236
45,m,0,107.5667,-0.1036006,1.770018,-0.6657417,358.7378
45,m,0,107.7889,-0.1016864,1.770341,-0.6666882,359.0672
45,m,0,108.0111,-0.09959643,1.77011,-0.6667821,359.4148
45,m,0,108.2333,-0.0988094,1.770418,-0.6667714,359.5887
45,m,0,108.4556,-0.09951162,1.770908,-0.6673698,359.2783
45,m,0,108.6778,-0.1013655,1.771856,-0.6667047,358.6604
45,m,0,108.9,-0.1011936,1.771711,-0.6646155,358.6278
45,m,0,109.1222,-0.102341,1.771663,-0.6630876,358.4762
45,m,0,109.3444,-0.1031928,1.772003,-0.6647177,358.5829
45,m,0,109.5667,-0.103329,1.772187,-0.6659124,358.9715
45,m,0,109.7889,-0.1030833,1.77209,-0.6677449,359.2845
45,m,0,110.0111,-0.1039914,1.772106,-0.6678034,359.0978
45,m,0,110.2333,-0.1056044,1.772969,-0.6693919,359.0276
45,m,0,110.4556,-0.1069185,1.773484,-0.6705351,359.1611
45,m,0,110.6778,-0.1070631,1.77355,-0.6707728,359.3734
45,m,0,110.9,-0.1062932,1.774008,-0.6720881,359.6043
45,m,0,111.1222,-0.1062642,1.774454,-0.6729392,359.6925
45,m,0,111.3444,-0.1065009,1.774836,-0.6735433,359.58
45,m,0,111.5667,-0.1067058,1.775286,-0.6743568,359.3822
45,m,0,111.7889,-0.1071315,1.775119,-0.673972,359.3555
45,m,0,112.0111,-0.1079861,1.775359,-0.6735278,359.3206
45,m,0,112.2333,-0.1107059,1.775302,-0.6724871,358.796
45,m,0,112.4556,-0.1145007,1.77521,-0.6719525,357.658
45,m,0,112.6778,-0.119301,1.774737,-0.6710918,355.5539
45,m,0,112.9,-0.1216649,1.774907,-0.6700585,355.2415
45,m,0,113.1222,-0.1210938,1.775728,-0.669793,355.7141
45,m,0,113.3444,-0.1192908,1.775389,-0.6704452,355.9357
45,m,0,113.5667,-0.1161893,1.775332,-0.670832,356.5515
45,m,0,113.7889,-0.1119639,1.776759,-0.6723207,357.3633
45,m,0,114.0111,-0.1094035,1.776162,-0.6730762,357.3566
45,m,0,114.2333,-0.1078081,1.774848,-0.6737235,357.6092
45,m,0,114.4556,-0.1082176,1.775191,-0.684361,358.021
45,m,0,114.6778,-0.1107455,1.761111,-0.697324,359.6417
45,m,0,114.9,-0.1164973,1.738296,-0.7029393,0.4372474
45,m,0,115.1222,-0.1254359,1.706913,-0.7033439,0.3583282
45,m,0,115.3444,-0.134942,1.701153,-0.6975062,0.6853768
45,m,0,115.5667,-0.1419369,1.694961,-0.6879788,1.592662
45,m,0,115.7889,-0.1390423,1.685289,-0.6557201,2.032477
45,m,0,116.0111,-0.1225862,1.685406,-0.6031544,0.5843037
45,m,0,116.2333,-0.08665963,1.719938,-0.5297669,359.3409
45,m,0,116.4556,-0.02699909,1.739871,-0.4456285,358.4919
45,m,0,116.6778,0.03031839,1.754754,-0.3676707,358.6707
45,m,0,116.9,0.06985259,1.762802,-0.3045947,356.7061
45,m,0,117.1222,0.1083869,1.759752,-0.2690512,355.1065
