Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
48,m,40,85.92223,0.04784917,1.810028,-0.03275177,355.9127
48,m,40,86.14445,0.04953038,1.807191,-0.03418811,355.8948
48,m,40,86.36667,0.05034348,1.802067,-0.03673173,350.2237
48,m,40,86.58889,0.06689326,1.792831,-0.01365178,330.0604
48,m,40,86.81111,0.01763663,1.785588,-0.0512426,287.2238
48,m,40,87.03333,-0.01004208,1.794011,-0.1809712,239.7058
48,m,40,87.25555,-0.01944888,1.786524,-0.2434475,212.3792
48,m,40,87.47778,-0.03980306,1.790337,-0.3344789,200.836
48,m,40,87.7,-0.05317703,1.776577,-0.4935199,192.9337
48,m,40,87.92223,-0.06434303,1.770185,-0.7128447,192.4118
48,m,40,88.14445,-0.133004,1.792407,-0.9161702,190.2013
48,m,40,88.36667,-0.2523822,1.750549,-1.12285,188.1307
48,m,40,88.58889,-0.3788595,1.776563,-1.332719,188.3832
48,m,40,88.81111,-0.4662977,1.799918,-1.519114,188.129
48,m,40,89.03333,-0.5475057,1.771893,-1.719046,189.03
48,m,40,89.25555,-0.6290102,1.784589,-1.916765,190.5602
48,m,40,89.47778,-0.6979477,1.799888,-2.087931,190.42
48,m,40,89.7,-0.7689383,1.791049,-2.241562,186.5003
48,m,40,89.92223,-0.8068323,1.801246,-2.358045,186.1678
48,m,40,90.14445,-0.7931247,1.800865,-2.438016,188.0119
48,m,35,99.68889,0.05310645,1.814594,-0.1488394,6.569929
48,m,35,99.91111,0.0456349,1.814029,-0.1423232,1.728657
48,m,35,100.1333,0.01878927,1.812339,-0.1292927,351.1901
48,m,35,100.3556,-0.02283369,1.805759,-0.1091502,343.27
48,m,35,100.5778,-0.08114484,1.787268,-0.07708758,336.3286
48,m,35,100.8,-0.1391849,1.773065,0.0104353,332.0175
48,m,35,101.0222,-0.2055835,1.741599,0.1813617,328.5125
48,m,35,101.2444,-0.2930815,1.759605,0.3959945,325.9995
48,m,35,101.4667,-0.4096369,1.797955,0.5892034,324.0333
48,m,35,101.6889,-0.5613658,1.747596,0.8054044,324.9411
48,m,35,101.9111,-0.7239206,1.785688,1.033132,326.3238
48,m,35,102.1333,-0.8666203,1.791909,1.267763,322.8555
48,m,35,102.3556,-0.9922687,1.754155,1.498282,322.0796
48,m,35,102.5778,-1.113772,1.789456,1.657639,320.6309
48,m,35,102.8,-1.232351,1.787292,1.778988,321.0532
48,m,35,103.0222,-1.342848,1.791617,1.86016,322.2236
48,m,35,103.2444,-1.408308,1.797265,1.927999,322.6386
48,m,36,114.8556,0.04405971,1.800662,-0.1453278,343.696
48,m,36,115.0778,0.0559805,1.798232,-0.137371,331.5593
48,m,36,115.3,0.04588548,1.780446,-0.1143518,305.4931
48,m,36,115.5222,0.003791776,1.768243,-0.1604208,278.2231
48,m,36,115.7444,-0.04438515,1.789749,-0.3322544,257.9634
48,m,36,115.9667,-0.05883216,1.794996,-0.6049595,226.4208
48,m,36,116.1889,-0.05892261,1.807695,-0.8284973,201.0734
48,m,36,116.4111,-0.08953942,1.780576,-1.034503,190.0186
48,m,36,116.6333,-0.1613223,1.764948,-1.278805,184.9434
48,m,36,116.8556,-0.2068693,1.806792,-1.522248,185.1976
48,m,36,117.0778,-0.2445187,1.784054,-1.761647,184.5167
48,m,36,117.3,-0.2826688,1.78226,-2.008065,186.9698
48,m,36,117.5222,-0.3533274,1.808214,-2.208712,186.9504
48,m,36,117.7444,-0.4518734,1.776021,-2.390431,186.0863
48,m,36,117.9667,-0.5232142,1.80935,-2.537902,183.6494
48,m,36,118.1889,-0.5364058,1.815212,-2.639975,184.6632
48,m,36,118.4111,-0.5152085,1.818223,-2.692991,187.8668
48,m,34,127.8778,0.07938646,1.800794,-0.2001077,356.324
48,m,34,128.1,0.09329788,1.798741,-0.1927454,350.1316
48,m,34,128.3222,0.08840811,1.778744,-0.1659461,327.8239
48,m,34,128.5444,0.05299698,1.773931,-0.2141621,303.0081
48,m,34,128.7667,0.011492,1.796138,-0.3885026,268.2527
48,m,34,128.9889,0.01322135,1.796901,-0.6623423,231.0386
48,m,34,129.2111,0.04382068,1.790661,-0.9333832,203.419
48,m,34,129.4333,0.03525322,1.802489,-1.141726,187.0624
48,m,34,129.6556,-0.03026582,1.766962,-1.35854,181.2316
48,m,34,129.8778,-0.1187805,1.778238,-1.597675,182.9214
48,m,34,130.1,-0.1606943,1.807431,-1.821917,180.879
48,m,34,130.3222,-0.1919046,1.768937,-2.061021,182.0412
48,m,34,130.5444,-0.2437108,1.804511,-2.267051,184.6517
48,m,34,130.7667,-0.3134438,1.802682,-2.429142,183.7764
48,m,34,130.9889,-0.3889938,1.79811,-2.56866,180.3909
48,m,34,131.2111,-0.4178029,1.808706,-2.654163,181.8779
48,m,34,131.4333,-0.4139904,1.808583,-2.698678,183.619
48,m,7,140.3889,0.07617453,1.813321,-0.1813451,357.0779
48,m,7,140.6111,0.06421959,1.810611,-0.1855944,359.786
48,m,7,140.8333,0.04812726,1.810401,-0.198666,14.54523
48,m,7,141.0556,0.04663673,1.799704,-0.2166799,44.38385
48,m,7,141.2778,0.08634616,1.803679,-0.2778342,75.68854
48,m,7,141.5,0.139085,1.802552,-0.3977979,101.1784
48,m,7,141.7222,0.2049266,1.7948,-0.5868944,113.7087
48,m,7,141.9444,0.2585952,1.801012,-0.8042344,126.3618
48,m,7,142.1667,0.3167148,1.818,-0.9760606,134.5288
48,m,7,142.3889,0.4226326,1.78418,-1.138972,140.4732
48,m,7,142.6111,0.5418729,1.784535,-1.287924,142.831
48,m,7,142.8333,0.6224822,1.816769,-1.403806,140.8297
48,m,7,143.0556,0.6801653,1.805847,-1.512268,136.1812
48,m,7,143.2778,0.7406954,1.80887,-1.594705,130.7641
48,m,39,152.3333,-0.0181649,1.794069,-0.03319601,0.7410343
48,m,39,152.5556,0.007985754,1.791619,-0.01365133,11.07416
48,m,39,152.7778,0.07956413,1.786465,0.001048603,22.23488
48,m,39,153,0.1875116,1.769872,0.0220374,28.29993
48,m,39,153.2222,0.2987739,1.770481,0.0969821,31.35112
48,m,39,153.4444,0.4149544,1.736207,0.2493144,32.70542
48,m,39,153.6667,0.5464561,1.748518,0.4537374,33.56238
48,m,39,153.8889,0.7002559,1.773595,0.6331711,34.2578
48,m,39,154.1111,0.8984803,1.72284,0.8387297,33.38205
48,m,39,154.3333,1.072743,1.75707,1.049157,32.33636
